teks,location,bulan,word_length,clean,clean_stem,sentiment,sentiment_text,num_sentimen_lexicon,cleaned
wadoooo kontroversial sisi gasuka ibunya meremehkan vaksin  mo gimanapun kan dalam rangka ikhtiar bebas covid disisi setuju  kesehatan gaboleh dikotori duit  dokter tidak objektif duit masuk ranah pelanggaran etik bingunggg https  ,Sumatera Barat,Januari,24,wado kontroversial sisi gasuka ibunya meremehkan gimanapun rangka ikhtiar bebas disisi setuju kesehatan gaboleh dikotori duit dokter objektif duit masuk ranah pelanggaran etik bingunggg,wado kontroversial sisi gasuka ibu remeh gimanapun rangka ikhtiar bebas sisi tuju sehat gaboleh kotor duit dokter objektif duit masuk ranah langgar etik bingunggg,-2,negative,2,wadoooo kontroversial sisi gasuka ibu remeh vaksin mo gimanapun kan dalam rangka ikhtiar bebas covid sisi tuju sehat gaboleh kotor duit dokter tidak objektif duit masuk ranah langgar etik bingunggg
daftar vaksin https  ,Sumatera Barat,Januari,1,daftar,daftar,1,positive,1,daftar vaksin
tolak vaksin asing kan biaya negara ri  biaya https  ,Sumatera Barat,Februari,6,tolak asing biaya negara ri biaya,tolak asing biaya negara ri biaya,-4,negative,2,tolak vaksin asing kan biaya negara ri biaya
nasrul abit duta vaksin lansia https   https  ,Sumatera Barat,Maret,5,nasrul abit duta usia,nasrul abit duta usia,0,neutral,0,nasrul abit duta vaksin lansia
bsbsnya smlm mimpi vaksin ckckck,Sumatera Barat,Maret,4,bsbsnya smlm mimpi ckckck,bsbsnya smlm mimpi ckckck,2,positive,1,bsbsnya smlm mimpi vaksin ckckck
 vmdfmfrmha baca ga hukum mesti dilanggar vaksin,Sumatera Barat,Maret,6,vmdfmfrmha baca ga hukum mesti dilanggar,vmdfmfrmha baca ga hukum mesti langgar,-3,negative,2,vmdfmfrmha baca ga hukum mesti langgar vaksin
ayo vaksin  yok  halimiskandarnu  imansyukri  malikharamain    yusradaridesa  pusatppmd  tppkemendes  kemendesapdtt    gitoafriendra  tppipdgpariaman  gusmenteri  yusradaridesa  kemendesapdtt  puspenpmd  tppkemendesa https  ,Sumatera Barat,April,16,ayo yok halimiskandarnu imansyukri malikharamain yusradaridesa pusatppmd tppkemendes kemendesapdtt gitoafriendra tppipdgpariaman gusmenteri yusradaridesa kemendesapdtt puspenpmd tppkemendesa,ayo yok halimiskandarnu imansyukri malikharamain yusradaridesa pusatppmd tppkemendes kemendesapdtt gitoafriendra tppipdgpariaman gusmenteri yusradaridesa kemendesapdtt puspenpmd tppkemendesa,4,positive,1,ayo vaksin yok halimiskandarnu imansyukri malikharamain yusradaridesa pusatppmd tppkemendes kemendesapdtt gitoafriendra tppipdgpariaman gusmenteri yusradaridesa kemendesapdtt puspenpmd tppkemendesa
 tempodotco indonesia tidak lintingan sehabis vaksin,Sumatera Barat,April,4,tempodotco indonesia lintingan sehabis,tempodotco indonesia linting habis,3,positive,1,tempodotco indonesia tidak linting habis vaksin
 asaibrahim  mazingrahmat bukannya vaksin polio berhasil bikin dunia bebas polio ,Sumatera Barat,April,8,asaibrahim mazingrahmat polio berhasil bikin dunia bebas polio,asaibrahim mazingrahmat polio hasil bikin dunia bebas polio,0,neutral,0,asaibrahim mazingrahmat bukan vaksin polio hasil bikin dunia bebas polio
gubenur gubernur sumbar lakukan vaksin tahap https   https  tcomjgnpqletm,Sumatera Barat,April,6,gubenur gubernur sumbar lakukan tahap tcomjgnpqletm,gubenur gubernur sumbar laku tahap tcomjgnpqletm,0,neutral,0,gubenur gubernur sumbar laku vaksin tahap tcomjgnpqletm
giat pengawalan vaksin  rabu tgl  april   azharnugroho  ditlantaspoldasumbar  subditkamselpoldasumbar  humaspoldasumbar  polres arosuka https  ,Sumatera Barat,April,11,giat pengawalan rabu tanggal april azharnugroho ditlantaspoldasumbar subditkamselpoldasumbar humaspoldasumbar polres arosuka,giat awal rabu tanggal april azharnugroho ditlantaspoldasumbar subditkamselpoldasumbar humaspoldasumbar polres arosuka,-2,negative,2,giat awal vaksin rabu tgl april azharnugroho ditlantaspoldasumbar subditkamselpoldasumbar humaspoldasumbar polres arosuka
ngakak banget lihat video koin nempel dilokasi bekas vaksin  katanya vaksin magnetnya 🤣😂🤣  yaa apakabar covid  divaksin   magneto ahh 😂🤣,Sumatera Barat,Mei,14,tertawa banget lihat video koin nempel dilokasi bekas magnetnya yaa apakabar divaksin magneto ahh,tertawa banget lihat video koin nempel lokasi bekas magnet yaa apakabar vaksin magneto ahh,6,positive,1,ngakak banget lihat video koin nempel lokasi bekas vaksin kata vaksin magnet yaa apakabar covid vaksin magneto ahh
menkes budi vaksin dipakai indonesia efektif lawan  varian delta https   doa bangsaku,Sumatera Barat,Juni,10,menkes budi dipakai indonesia efektif lawan varian delta doa bangsaku,menkes budi pakai indonesia efektif lawan varian delta doa bangsa,11,positive,1,menkes budi vaksin pakai indonesia efektif lawan varian delta doa bangsa
ayo sukseskan vaksinasi  vaksin  aman bpom who damai indonesiaku https  ,Sumatera Barat,Juni,7,ayo sukseskan aman bpom who damai indonesiaku,ayo sukses aman bpom who damai indonesia,7,positive,1,ayo sukses vaksinasi vaksin aman bpom who damai indonesia
 komorbit kepetugas memaksa vaksin  hipertensi  minum obat amlodipine  mg istri diabetes  gula darah memakan obat gulanya 🙄 https  ,Sumatera Barat,Juni,15,komorbit kepetugas memaksa hipertensi minum obat amlodipine mg istri diabetes gula darah memakan obat gulanya,komorbit tugas paksa hipertensi minum obat amlodipine mg istri diabetes gula darah makan obat gula,-9,negative,2,komorbit tugas paksa vaksin hipertensi minum obat amlodipine mg istri diabetes gula darah makan obat gula
cek tekanan darah tenaga medis berbeda akhrinya tidak berhasil vaksin   transmart padang https  tcoprsvwxzvlb,Sumatera Barat,Juni,11,cek tekanan darah tenaga medis berbeda akhrinya berhasil transmart padang tcoprsvwxzvlb,cek tekan darah tenaga medis beda akhrinya hasil transmart padang tcoprsvwxzvlb,5,positive,1,cek tekan darah tenaga medis beda akhrinya tidak hasil vaksin transmart padang tcoprsvwxzvlb
ayo vaksin https  ,Sumatera Barat,Juni,1,ayo,ayo,4,positive,1,ayo vaksin
vaksin sinovac validasi who https  ,Sumatera Barat,Juni,3,sinovac validasi who,sinovac validasi who,0,neutral,0,vaksin sinovac validasi who
mutasi virus covid   kelangkaan vaksin  perkembangan wabah covid    dana haji aman  stophoaxdanahaji https  ,Sumatera Barat,Juni,8,mutasi kelangkaan perkembangan wabah dana haji aman stophoaxdanahaji,mutasi langka kembang wabah dana haji aman stophoaxdanahaji,-3,negative,2,mutasi virus covid langka vaksin kembang wabah covid dana haji aman stophoaxdanahaji
mutasi virus   kelangkaan vaksin  perkembangan wabah covid  alasan saudi mengumpulkan mekanisme penyelenggaraan haji  dana haji aman  stophoaxdanahaji https  tcolmcdunypmm,Sumatera Barat,Juni,15,mutasi kelangkaan perkembangan wabah alasan saudi mengumpulkan mekanisme penyelenggaraan haji dana haji aman stophoaxdanahaji tcolmcdunypmm,mutasi langka kembang wabah alas saudi kumpul mekanisme selenggara haji dana haji aman stophoaxdanahaji tcolmcdunypmm,0,neutral,0,mutasi virus langka vaksin kembang wabah covid alas saudi kumpul mekanisme selenggara haji dana haji aman stophoaxdanahaji tcolmcdunypmm
benar vaksin naikin badan  barisan ,Riau,Januari,3,naikin badan barisan,naikin badan baris,-3,negative,2,benar vaksin naikin badan baris
kena vaksin berati total panjangnya meter https  tcoxiijqdsvwh,Riau,Januari,6,kena berati total panjangnya meter tcoxiijqdsvwh,kena berat total panjang meter tcoxiijqdsvwh,-1,negative,2,kena vaksin berat total panjang meter tcoxiijqdsvwh
     kangmirdja        mezhuyusra    luckyhs  linnasution fotoin wartawan  tempodotco  geloraco kawankawan vaksin,Riau,Februari,9,kangmirdja mezhuyusra luckyhs linnasution fotoin wartawan tempodotco geloraco kawankawan,kangmirdja mezhuyusra luckyhs linnasution fotoin wartawan tempodotco geloraco kawankawan,0,neutral,0,kangmirdja mezhuyusra luckyhs linnasution fotoin wartawan tempodotco geloraco kawankawan vaksin
alhamdulillah kantor mewakili kantor vaksin ,Riau,Maret,4,alhamdulillah kantor mewakili kantor,alhamdulillah kantor wakil kantor,5,positive,1,alhamdulillah kantor wakil kantor vaksin
 cahcopek dah  tak kasih wak  kaco  tanggal  vaksin wak,Riau,April,7,cahcopek deh kasih wak kaco tanggal wak,cahcopek deh kasih wak kaco tanggal wak,-2,negative,2,cahcopek dah tak kasih wak kaco tanggal vaksin wak
barusan pas vaksin kawan bilang  a  abis vaksin ketahuan  dijadikan kelinci percobaan  gue  kesini   vaksin  ga suka jokowi keluar pns  gagalkan program vaksin bukan a  hening zzz https  ,Riau,April,20,barusan pas kawan bilang a habis ketahuan dijadikan kelinci percobaan kesini ga suka jokowi pns gagalkan program a hening zzz,barusan pas kawan bilang a habis tahu jadi kelinci coba kesini ga suka jokowi pns gagal program a hening zzz,6,positive,1,barusan pas vaksin kawan bilang a abis vaksin tahu jadi kelinci coba gue kesini vaksin ga suka jokowi keluar pns gagal program vaksin bukan a hening zzz
  ibu kost  facebook bukan main gencar  disini hina vaksin  giliran vaksin daftar,Riau,April,7,kost facebook main gencar hina giliran daftar,kost facebook main gencar hina gilir daftar,-2,negative,2,ibu kost facebook bukan main gencar sini hina vaksin gilir vaksin daftar
ayo vaksin   kuantan singingi https  tcohbioocfrca,Riau,April,4,ayo kuantan singingi tcohbioocfrca,ayo antan singingi tcohbioocfrca,4,positive,1,ayo vaksin antan singingi tcohbioocfrca
 kumparan vaksin coviq   salah menjaga pribadi  keluarga percepatan penularan coviq   meskipun vaksin lupa patuhi prokes  sukseskan vacsin  indonesia sehat menuju perekonomian membaik  bersamakitavaksin,Riau,April,19,kumparan coviq salah menjaga pribadi keluarga percepatan penularan coviq lupa patuhi prokes sukseskan vacsin indonesia sehat perekonomian membaik bersamakitavaksin,kumpar coviq salah jaga pribadi keluarga cepat tular coviq lupa patuh prokes sukses vacsin indonesia sehat ekonomi baik bersamakitavaksin,16,positive,1,kumpar vaksin coviq salah jaga pribadi keluarga cepat tular coviq meski vaksin lupa patuh prokes sukses vacsin indonesia sehat tuju ekonomi baik bersamakitavaksin
tidak terpikirkan vaksin  si cece disuruh vaksin semalam  udah tuh  baca astrazeneca bermasalah  bismillah besok pergi ga halangan gapapa,Riau,Mei,15,terpikirkan si cece disuruh semalam tuh baca astrazeneca bermasalah bismillah besok pergi ga halangan gapapa,pikir si cece suruh malam tuh baca astrazeneca masalah bismillah besok pergi ga halang gapapa,5,positive,1,tidak pikir vaksin si cece suruh vaksin malam udah tuh baca astrazeneca masalah bismillah besok pergi ga halang gapapa
 aandtjg iyaaa  batal  kasus riau    indonesia  kayaknya habis vaksin baliknya 😰😰,Riau,Mei,8,aandtjg iyaaa batal riau indonesia kayaknya habis baliknya,aandtjg iyaaa batal riau indonesia kayak habis balik,-8,negative,2,aandtjg iyaaa batal kasus riau indonesia kayak habis vaksin balik
 wardatulchamro  kedirifess paham sih  tujuan vaksin mung nggo golek surat keterangane wae  nggo pulang batam,Riau,Juni,14,wardatulchamro kedirifess paham sih tujuan mung nggo golek surat keterangane wae nggo pulang batam,wardatulchamro kedirifess paham sih tuju mung nggo golek surat keterangane wae nggo pulang batam,2,positive,1,wardatulchamro kedirifess paham sih tuju vaksin mung nggo golek surat keterangane wae nggo pulang batam
my emak   terkonfirmasi    yll   rawat rs  gejala  my emak belom vaksin lengkap  laen cerita nya  tks tim rsds  kapus dokmei,Riau,Juni,19,my emak terkonfirmasi yll rawat rs gejala my emak lengkap laen cerita nya terima kasih tim rsds kapus dokmei,my emak konfirmasi yll rawat rs gejala my emak lengkap laen cerita nya terima kasih tim rsds kapus dokmei,10,positive,1,my emak konfirmasi yll rawat rs gejala my emak bom vaksin lengkap laen cerita nya tks tim rsds kapus dokmei
vaksin jarumnya 😞,Riau,Juni,1,jarumnya,jarum,-4,negative,2,vaksin jarum
gw saksi  tawakal allaah urusan covid  taat maskeran  vaksin lengkap   jalan  pakai mobil   meeting  aksinya wilyang ga pakai antigen tujuanny  antigen takut soalny ,Riau,Juni,20,saksi tawakal allaah urusan taat maskeran lengkap jalan pakai mobil meeting aksinya wilyang ga pakai antigen tujuanny antigen takut soalny,saksi tawakal allaah urus taat masker lengkap jalan pakai mobil meeting aksi wilyang ga pakai antigen tujuanny antigen takut soalny,13,positive,1,gw saksi tawakal allaah urus covid taat masker vaksin lengkap jalan pakai mobil meeting aksi wilyang ga pakai antigen tujuanny antigen takut soalny
 cabulsetengah ayo vaksin  ragu ,Kepulauan Riau,Januari,3,cabulsetengah ayo ragu,cabulsetengah ayo ragu,1,positive,1,cabulsetengah ayo vaksin ragu
benar vaksin naikin badan  barisan ,Kepulauan Riau,Januari,3,naikin badan barisan,naikin badan baris,-3,negative,2,benar vaksin naikin badan baris
 cabulsetengah ayo vaksin ,Kepulauan Riau,Januari,2,cabulsetengah ayo,cabulsetengah ayo,4,positive,1,cabulsetengah ayo vaksin
dunia kejam  jual vaksin sebar berita penyakit wabah dunia  waw ,Kepulauan Riau,Januari,9,dunia kejam jual sebar berita penyakit wabah dunia waw,dunia kejam jual sebar berita sakit wabah dunia waw,-13,negative,2,dunia kejam jual vaksin sebar berita sakit wabah dunia waw
semoga program vaksinasi  diiringi peningkatan kualitas fasilitas rantai dingin kompetensi petugas  mutu vaksin terjaga  program vaksinasi berjalan lancar sukses ,Kepulauan Riau,Januari,16,semoga program diiringi peningkatan kualitas fasilitas rantai dingin kompetensi petugas mutu terjaga program berjalan lancar sukses,moga program iring tingkat kualitas fasilitas rantai dingin kompetensi tugas mutu jaga program jalan lancar sukses,23,positive,1,moga program vaksinasi iring tingkat kualitas fasilitas rantai dingin kompetensi tugas mutu vaksin jaga program vaksinasi jalan lancar sukses
vaksin covid  sinovac diberikan presiden joko widodo  ketua dokter kepresidenan  prof dr abdul muthalib  sukseskan vaksin covid  sinovac  semoga sehat rakyat indonesia vaksin sinovac https  ,Kepulauan Riau,Januari,18,sinovac presiden joko widodo ketua dokter kepresidenan prof dr abdul muthalib sukseskan sinovac semoga sehat rakyat indonesia sinovac,sinovac presiden joko widodo ketua dokter presiden prof dr abdul muthalib sukses sinovac moga sehat rakyat indonesia sinovac,8,positive,1,vaksin covid sinovac beri presiden joko widodo ketua dokter presiden prof dr abdul muthalib sukses vaksin covid sinovac moga sehat rakyat indonesia vaksin sinovac
balita mungkin klau bayi bicara mungkin nolak yaa vaksin🤣🤣 skrng kerasa takut jarum suntik nolak vaksin 🤣🤣 bayi vaksin efek sampingnya demam  ruam merah  mungkin alergi 😅,Kepulauan Riau,Januari,18,balita klau bayi bicara nolak yaa skrng kerasa takut jarum nolak bayi efek sampingnya demam ruam merah alergi,balita klau bayi bicara nolak yaa skrng rasa takut jarum nolak bayi efek samping demam ruam merah alergi,-11,negative,2,balita mungkin klau bayi bicara mungkin nolak yaa vaksin skrng rasa takut jarum suntik nolak vaksin bayi vaksin efek samping demam ruam merah mungkin alergi
vaksin dewasa  bayi imunisasi  tidak penyakit berevolusinya  kalo bicara  tidak imunisasi tidak  liat angka kematiannya sayang  kesini  karna ilmu berkembang 🤗,Kepulauan Riau,Januari,14,dewasa bayi imunisasi penyakit berevolusinya bicara imunisasi lihat angka kematiannya sayang kesini ilmu berkembang,dewasa bayi imunisasi sakit evolusi bicara imunisasi lihat angka mati sayang kesini ilmu kembang,11,positive,1,vaksin dewasa bayi imunisasi tidak sakit evolusi kalo bicara tidak imunisasi tidak liat angka mati sayang kesini karna ilmu kembang
kalo membicarakan vaksin  malas banget debat yasudah anakmu bukan anakku  nggak divaksin tidak hehehe,Kepulauan Riau,Januari,10,membicarakan malas banget debat yasudah anakmu anakku divaksin hehehe,bicara malas banget debat yasudah anak anak vaksin hehehe,-6,negative,2,kalo bicara vaksin malas banget debat yasudah anak bukan anak nggak vaksin tidak hehehe
 cabulsetengah ayo vaksin,Kepulauan Riau,Februari,2,cabulsetengah ayo,cabulsetengah ayo,4,positive,1,cabulsetengah ayo vaksin
 cabulsetengah ayo vaksin,Kepulauan Riau,Februari,2,cabulsetengah ayo,cabulsetengah ayo,4,positive,1,cabulsetengah ayo vaksin
ayo kenali manfaat vaksin covid    humaspoldakepri  poldakepri  multimediapoldakepri  adaptasikebiasaanbaru    kepri  indonesia  disiplinbersamapolri  polripresisi https  ,Kepulauan Riau,Februari,11,ayo kenali manfaat humaspoldakepri poldakepri multimediapoldakepri adaptasikebiasaanbaru kepri indonesia disiplinbersamapolri polripresisi,ayo kenal manfaat humaspoldakepri poldakepri multimediapoldakepri adaptasikebiasaanbaru kepri indonesia disiplinbersamapolri polripresisi,12,positive,1,ayo kenal manfaat vaksin covid humaspoldakepri poldakepri multimediapoldakepri adaptasikebiasaanbaru kepri indonesia disiplinbersamapolri polripresisi
 cabulsetengah mantap  ayo vaksin,Kepulauan Riau,Februari,3,cabulsetengah mantap ayo,cabulsetengah mantap ayo,9,positive,1,cabulsetengah mantap ayo vaksin
 cabulsetengah ayo vaksin ,Kepulauan Riau,Februari,2,cabulsetengah ayo,cabulsetengah ayo,4,positive,1,cabulsetengah ayo vaksin
 cabulsetengah ayo vaksin ,Kepulauan Riau,Februari,2,cabulsetengah ayo,cabulsetengah ayo,4,positive,1,cabulsetengah ayo vaksin
alhamdulillah kantor mewakili kantor vaksin ,Kepulauan Riau,Maret,4,alhamdulillah kantor mewakili kantor,alhamdulillah kantor wakil kantor,5,positive,1,alhamdulillah kantor wakil kantor vaksin
 cabulsetengah ayo vaksin ,Kepulauan Riau,Maret,2,cabulsetengah ayo,cabulsetengah ayo,4,positive,1,cabulsetengah ayo vaksin
vaksin aman halal https  ,Kepulauan Riau,Maret,2,aman halal,aman halal,0,neutral,0,vaksin aman halal
ku kira suntik vaksin covid tuh sakit  sakitan ghosting gaess  sumpah beneran deh ga boong  👻,Kepulauan Riau,April,11,ku tuh sakit sakitan ghosting gaess sumpah beneran deh ga boong,ku tuh sakit sakit ghosting gaess sumpah beneran deh ga boong,0,neutral,0,ku kira suntik vaksin covid tuh sakit sakit ghosting gaess sumpah beneran deh ga boong
vaksin efeknya bikin mules tertawa😂,Kepulauan Riau,April,4,efeknya bikin mules tertawa,efek bikin mules tertawa,4,positive,1,vaksin efek bikin mules tertawa
habis vaksin alamin demam pusing mual  saran dokter minum paracetamol  pas minum paracetamol  ampuh  menandakan baby face    antowinarno,Kepulauan Riau,April,17,habis alamin demam pusing mual saran dokter minum paracetamol pas minum paracetamol ampuh menandakan baby face antowinarno,habis alamin demam pusing mual saran dokter minum paracetamol pas minum paracetamol ampuh tanda baby face antowinarno,-7,negative,2,habis vaksin alamin demam pusing mual saran dokter minum paracetamol pas minum paracetamol ampuh tanda baby face antowinarno
 andiiiiiiiinnnn vaksin,Kepulauan Riau,April,1,andin,andin,0,neutral,0,andiiiiiiiinnnn vaksin
 cahcopek dah  tak kasih wak  kaco  tanggal  vaksin wak,Kepulauan Riau,April,7,cahcopek deh kasih wak kaco tanggal wak,cahcopek deh kasih wak kaco tanggal wak,-2,negative,2,cahcopek dah tak kasih wak kaco tanggal vaksin wak
 cahcopek yoi   budak setan suka nyinyir informasi pinang vaksin way,Kepulauan Riau,April,9,cahcopek yoi budak setan suka nyinyir informasi pinang way,cahcopek yoi budak setan suka nyinyir informasi pinang way,1,positive,1,cahcopek yoi budak setan suka nyinyir informasi pinang vaksin way
kadrun daftar vaksin seabreg  bajingan  nolak vaksin status fb,Kepulauan Riau,April,7,kadrun daftar seabreg bajingan nolak status fb,kadrun daftar seabreg bajing nolak status fb,2,positive,1,kadrun daftar vaksin seabreg bajing nolak vaksin status fb
 septian om  sg tidak link https    tracking dosis vaksin disuntikkan ,Kepulauan Riau,Juni,7,septian om sg link tracking dosis disuntikkan,septian om sg link tracking dosis suntik,0,neutral,0,septian om sg tidak link tracking dosis vaksin suntik
my emak   terkonfirmasi    yll   rawat rs  gejala  my emak belom vaksin lengkap  laen cerita nya  tks tim rsds  kapus dokmei,Kepulauan Riau,Juni,19,my emak terkonfirmasi yll rawat rs gejala my emak lengkap laen cerita nya terima kasih tim rsds kapus dokmei,my emak konfirmasi yll rawat rs gejala my emak lengkap laen cerita nya terima kasih tim rsds kapus dokmei,10,positive,1,my emak konfirmasi yll rawat rs gejala my emak bom vaksin lengkap laen cerita nya tks tim rsds kapus dokmei
alhamdulilah vaksin done ,Kepulauan Riau,Juni,2,alhamdulilah done,alhamdulilah done,3,positive,1,alhamdulilah vaksin done
ayo vaksin https  tcodtiwipwuhm,Kepulauan Riau,Juni,2,ayo tcodtiwipwuhm,ayo tcodtiwipwuhm,4,positive,1,ayo vaksin tcodtiwipwuhm
tolak provokasi isu hoax vaksin https  ,Kepulauan Riau,Juni,5,tolak provokasi isu isu bohong,tolak provokasi isu isu bohong,-10,negative,2,tolak provokasi isu hoax vaksin
malam  set alarm jam  biar pergi vaksin jam  sebenernya  bangun bagun jam  https  ,Kepulauan Riau,Juni,11,malam set alarm jam biar pergi jam sebenernya bangun bagun jam,malam set alarm jam biar pergi jam sebenernya bangun bagun jam,2,positive,1,malam set alarm jam biar pergi vaksin jam sebenernya bangun bagun jam
prokes  lupa  vaksin  covid  indonesia https  ,Kepulauan Riau,Juni,3,prokes lupa indonesia,prokes lupa indonesia,1,positive,1,prokes lupa vaksin covid indonesia
efek vaksin kan demam  imun kebentuk  kan demam kayak sejenis reaksi badan pembentukan imun huhuhuhu demam bukan sakit temanteman  gejala  panik ,Kepulauan Riau,Juni,17,efek demam imun kebentuk demam kayak sejenis reaksi badan pembentukan imun huhuhuhu demam sakit temanteman gejala panik,efek demam imun bentuk demam kayak jenis reaksi badan bentuk imun huhuhuhu demam sakit temanteman gejala panik,-2,negative,2,efek vaksin kan demam imun bentuk kan demam kayak jenis reaksi badan bentuk imun huhuhuhu demam bukan sakit temanteman gejala panik
lelaaah  bayangin nyebar video ustad bicara vaksin ngerusak dna  tidak dnanya rusak  maksudnya  nggak habis thinking hahaha,Kepulauan Riau,Juni,15,lelaaah bayangin nyebar video ustad bicara ngerusak dna dnanya rusak maksudnya habis thinking hahaha,lelaaah bayangin nyebar video ustad bicara ngerusak dna dnanya rusak maksud habis thinking hahaha,9,positive,1,lelaaah bayangin nyebar video ustad bicara vaksin ngerusak dna tidak dnanya rusak maksud nggak habis thinking hahaha
   wakajati jambi dr hermon dekristo  sh  mh  asisten menerima suntik vaksin dosis  https  ,Jambi,Februari,10,wakajati jambi dr hermon dekristo sh mh asisten menerima dosis,wakajati jambi dr hermon dekristo sh mh asisten terima dosis,2,positive,1,wakajati jambi dr hermon dekristo sh mh asisten terima suntik vaksin dosis
vaksinasi tahap lingkungan kantor kejaksaan jambi  selesai vaksin percaya melayani masyarakat pencari keadilan    kejaksaanri  terusbergerakdanberkarya  jaksaprofesional  jaksaagungri  kejatijambi https  ,Jambi,Maret,16,tahap lingkungan kantor kejaksaan jambi selesai percaya melayani masyarakat pencari keadilan kejaksaanri terusbergerakdanberkarya jaksaprofesional jaksaagungri kejatijambi,tahap lingkung kantor jaksa jambi selesai percaya layan masyarakat cari adil kejaksaanri terusbergerakdanberkarya jaksaprofesional jaksaagungri kejatijambi,7,positive,1,vaksinasi tahap lingkung kantor jaksa jambi selesai vaksin percaya layan masyarakat cari adil kejaksaanri terusbergerakdanberkarya jaksaprofesional jaksaagungri kejatijambi
  alkisah habis vaksin positif covid ,Jambi,Maret,3,alkisah habis positif,alkisah habis positif,3,positive,1,alkisah habis vaksin positif covid
 tofatofaid tolol      vaksin bukan kebal    ,Jambi,April,3,tofatofaid tolol kebal,tofatofaid tolol kebal,-5,negative,2,tofatofaid tolol vaksin bukan kebal
anak bapil rungsingin emaknga ketimbang demam pasca vaksin bun    yok yok ulli yok ,Jambi,Mei,12,anak bapil rungsingin emaknga ketimbang demam pasca bun yok yok ulli yok,anak bapil rungsingin emaknga ketimbang demam pasca bun yok yok ulli yok,-3,negative,2,anak bapil rungsingin emaknga ketimbang demam pasca vaksin bun yok yok ulli yok
 maketopi   tidakkang komorbid jantung  tp efek covid tidak parah sdh vaksin ,Jambi,Juni,7,maketopi tidakkang komorbid jantung efek parah sdh,maketopi tidakkang komorbid jantung efek parah sdh,-2,negative,2,maketopi tidakkang komorbid jantung tp efek covid tidak parah sdh vaksin
 vikanadee   syafakillah ibunya mbakjaga fisik mentalnyaajak hepikasih makan minuman sehat   vaksin ,Jambi,Juni,10,vikanadee syafakillah ibunya mbakjaga fisik mentalnyaajak hepikasih makan minuman sehat,vikanadee syafakillah ibu mbakjaga fisik mentalnyaajak hepikasih makan minum sehat,2,positive,1,vikanadee syafakillah ibu mbakjaga fisik mentalnyaajak hepikasih makan minum sehat vaksin
 tempodotco dah nglantur gara gara vaksin bntr lupa ingatan tuh pr pembantu lurah ,Bengkulu,Januari,12,tempodotco deh nglantur gara gara bntr lupa ingatan tuh pr pembantu lurah,tempodotco deh nglantur gara gara bntr lupa ingat tuh pr bantu lurah,-2,negative,2,tempodotco dah nglantur gara gara vaksin bntr lupa ingat tuh pr bantu lurah
 ulmuchtar vaksin nul ,Bengkulu,Januari,2,ulmuchtar nul,ulmuchtar nul,0,neutral,0,ulmuchtar vaksin nul
simbolis  walikota terima vaksin sinovac      helmihasan  dedywahyudi  bengkulukotahadits  hd  insyaallah  bahagiadanreligius  bengkulubisa  banggakotabengkulu  kotabengkulu  bengkulu  pemerintahkotabengkulu  prestasipemkotbengkulu  dakwah  islam  muslim  hijrah https  ,Bengkulu,Januari,20,simbolis walikota terima sinovac helmihasan dedywahyudi bengkulukotahadits hd insyaallah bahagiadanreligius bengkulubisa banggakotabengkulu kotabengkulu bengkulu pemerintahkotabengkulu prestasipemkotbengkulu dakwah islam muslim hijrah,simbolis walikota terima sinovac helmihasan dedywahyudi bengkulukotahadits hd insyaallah bahagiadanreligius bengkulubisa banggakotabengkulu kotabengkulu bengkulu pemerintahkotabengkulu prestasipemkotbengkulu dakwah islam muslim hijrah,11,positive,1,simbolis walikota terima vaksin sinovac helmihasan dedywahyudi bengkulukotahadits hd insyaallah bahagiadanreligius bengkulubisa banggakotabengkulu kotabengkulu bengkulu pemerintahkotabengkulu prestasipemkotbengkulu dakwah islam muslim hijrah
walikota bengkulu dedy wahyudi didampingi kepala dinas kesehatan  dinkes  susilawaty menerima vaksin sinovac  simbolis uptd farmasi kota bengkulu  rabu     https  ,Bengkulu,Januari,18,walikota bengkulu dedy wahyudi didampingi kepala dinas kesehatan dinkes susilawaty menerima sinovac simbolis uptd farmasi kota bengkulu rabu,walikota bengkulu dedy wahyudi damping kepala dinas sehat dinkes susilawaty terima sinovac simbolis uptd farmasi kota bengkulu rabu,7,positive,1,walikota bengkulu dedy wahyudi damping kepala dinas sehat dinkes susilawaty terima vaksin sinovac simbolis uptd farmasi kota bengkulu rabu
 tribunnews caci  anak pki  didukung puji penolak vaksin😃,Bengkulu,Januari,7,tribunnews caci anak pki didukung puji penolak,tribunnews caci anak pki dukung puji tolak,-4,negative,2,tribunnews caci anak pki dukung puji tolak vaksin
badan nya memang tidak segendut anak anak  minum susu nya tidak selahap anak   membutuhkan ektra tenaga melawan vaksin  berikan untuknya  melawan sakit dtng ,Bengkulu,April,18,badan nya segendut anak anak minum susu nya selahap anak membutuhkan ektra tenaga melawan untuknya melawan sakit dtng,badan nya gendut anak anak minum susu nya lahap anak butuh ektra tenaga lawan untuk lawan sakit dtng,-27,negative,2,badan nya memang tidak gendut anak anak minum susu nya tidak lahap anak butuh ektra tenaga lawan vaksin ikan untuk lawan sakit dtng
